8, 3, 3
2, -2, 5
4, -4, 6
6, -6, 7
6, -9, 9
1, -1, 10
3, -3, 11
5, -5, 12
5, -8, 14
12, -4, 17
5, 3, 18
5, 0, 20
5, -3, 22
5, -6, 24
-2, 1, 25
3, 1, 27
1, -3, 28
5, -2, 29
5, -5, 31
-2, 2, 32
-1, -2, 34
3, -1, 35
3, -4, 37
3, -7, 39
-4, 0, 40
0, 1, 41
-1, -4, 41
3, -3, 42
3, -6, 44
-4, 1, 45
0, 2, 46
-1, -6, 47
3, -5, 49
-4, 2, 50
-3, -2, 52
1, -1, 53
-1, -5, 54
3, -4, 55
-4, 3, 56
-3, -1, 58
-4, -6, 58
0, -5, 60
4, -4, 61
-6, 0, 61
-2, 1, 62
-4, -3, 63
0, -2, 64
-2, -3, 64
-3, -8, 64
1, -7, 66
-6, 0, 67
-7, -5, 67
-7, -5, 67
